#P1	80		p03_max	3825.710599							
#											
#Delta	Beta	m2	p2/p1	p02/p01	M3	p3/p2	p03/p02	p2/p03		p03	Is_MAX
18.9	31.2270063	2.64792986	4.85036954	0.68643872	0.49982007	8.01345464	0.44231409	0.10521308		3688.035396	FALSE
19.1	31.4498256	2.63350588	4.91486364	0.68024821	0.50101868	7.92457879	0.44761588	0.10630802		3698.583524	FALSE
19.3	31.6735611	2.61908315	4.9798817	0.67405634	0.50223466	7.83619601	0.45296688	0.10741967		3708.729844	FALSE
19.5	31.8982158	2.60466192	5.04542383	0.66786503	0.50346834	7.74830769	0.45836681	0.10854835		3718.471137	FALSE
19.7	32.123793	2.59024242	5.1114901	0.66167618	0.50472004	7.66091509	0.46381535	0.10969438		3727.804542	FALSE
19.9	32.3502965	2.57582486	5.17808061	0.65549161	0.50599008	7.57401937	0.46931215	0.11085807		3736.727951	FALSE
20.1	32.5777302	2.56140947	5.24519548	0.64931313	0.50727881	7.48762157	0.47485684	0.11203978		3745.237972	FALSE
20.3	32.8060985	2.54699642	5.31283481	0.64314249	0.50858657	7.4017226	0.48044899	0.11323985		3753.332284	FALSE
20.5	33.035406	2.5325859	5.38099874	0.63698139	0.50991372	7.31632324	0.48608819	0.11445863		3761.008665	FALSE
20.7	33.2656578	2.51817805	5.44968739	0.63083149	0.51126063	7.23142418	0.49177394	0.11569649		3768.264631	FALSE
20.9	33.4968592	2.50377303	5.51890093	0.62469441	0.51262768	7.14702597	0.49750576	0.11695379		3775.098476	FALSE
21.1	33.729016	2.48937095	5.58863953	0.61857171	0.51401526	7.06312901	0.50328311	0.11823094		3781.507297	FALSE
21.3	33.9621344	2.47497191	5.65890341	0.61246491	0.51542377	6.97973362	0.5091054	0.11952832		3787.489633	FALSE
21.5	34.1962209	2.460576	5.7296928	0.60637547	0.51685361	6.89683996	0.51497206	0.12084634		3793.043496	FALSE
21.7	34.4312825	2.44618328	5.80100796	0.60030483	0.51830522	6.81444808	0.52088242	0.12218542		3798.167055	FALSE
21.9	34.6673265	2.43179379	5.8728492	0.59425434	0.51977903	6.73255791	0.52683583	0.12354599		3802.858644	FALSE
22.1	34.9043607	2.41740756	5.94521684	0.58822534	0.5212755	6.65116923	0.53283157	0.12492849		3807.116753	FALSE
22.3	35.1423936	2.40302459	6.01811129	0.58221911	0.52279507	6.57028171	0.53886891	0.12633337		3810.94008	FALSE
22.5	35.3814338	2.38864484	6.09153297	0.57623687	0.52433824	6.4898949	0.54494705	0.12776112		3814.326593	FALSE
22.7	35.6214907	2.37426828	6.16548237	0.57027982	0.52590551	6.4100082	0.55106518	0.12921221		3817.275392	FALSE
22.9	35.8625739	2.35989483	6.23996004	0.56434908	0.52749737	6.3306209	0.55722245	0.13068714		3819.7852	FALSE
23.1	36.1046939	2.3455244	6.31496657	0.55844575	0.52911435	6.25173217	0.56341796	0.13218642		3821.854965	FALSE
23.3	36.3478614	2.33115685	6.39050265	0.55257086	0.53075701	6.17334102	0.56965077	0.13371059		3823.483331	FALSE
23.5	36.5920881	2.31679206	6.46656903	0.54672542	0.53242589	6.09544635	0.57591991	0.1352602		3824.669211	FALSE
23.7	36.8373858	2.30242982	6.54316653	0.54091038	0.5341216	6.01804696	0.58222438	0.1368358		3825.412081	FALSE
23.9	37.0837673	2.28806995	6.62029607	0.53512663	0.53584471	5.94114147	0.58856311	0.13843799		3825.710599	TRUE
24.1	37.331246	2.2737122	6.69795865	0.52937505	0.53759587	5.86472841	0.59493501	0.14006736		3825.5643	FALSE
24.3	37.5798357	2.25935632	6.7761554	0.52365644	0.53937571	5.78880616	0.60133894	0.14172453		3824.972515	FALSE
24.5	37.8295514	2.245002	6.85488751	0.51797159	0.5411849	5.71337298	0.60777372	0.14341017		3823.933831	FALSE
24.7	38.0804084	2.23064891	6.93415633	0.51232121	0.54302414	5.638427	0.61423813	0.14512492		3822.448318	FALSE
24.9	38.332423	2.21629669	7.0139633	0.50670599	0.54489414	5.56396623	0.6207309	0.14686947		3820.515346	FALSE
25.1	38.5856123	2.20194495	7.09431001	0.50112659	0.54679566	5.48998852	0.62725072	0.14864456		3818.133679	FALSE
25.3	38.8399942	2.18759325	7.17519819	0.49558359	0.54872945	5.41649161	0.63379624	0.1504509		3815.303565	FALSE
25.5	39.0955876	2.17324111	7.25662972	0.49007757	0.55069633	5.34347312	0.64036605	0.15228927		3812.024167	FALSE
25.7	39.3524122	2.15888804	7.33860664	0.48460904	0.55269714	5.27093049	0.6469587	0.15416046		3808.295144	FALSE
